player_id,session_duration,movement_events,deaths,menu_opens,menu_time,time_since_last_death
churn_ivy,88.6407,30,1,1,2.57364,2.67364
churn_ivy,64.9628,24,4,1,16.368,16.468
churn_ivy,47.379,18,4,1,22.4615,22.5615
churn_ivy,21.35,12,6,1,13.7602,13.8602
churn_jax,87.9753,30,1,1,4.66557,4.76557
churn_jax,70.9982,24,3,1,16.1356,16.2356
churn_jax,47.7617,18,4,1,21.7078,21.8078
churn_jax,25.6668,12,6,1,16.4921,16.5921
churn_kai,86.4227,30,2,1,6.17635,6.27635
churn_kai,67.7364,24,4,1,17.0868,17.1868
churn_kai,47.1987,18,4,1,21.7318,21.8318
churn_kai,25.7028,12,7,1,16.8881,16.9881
healthy_ann,83.4601,36,2,1,5.23203,31.3414
healthy_ann,101.715,48,2,1,5.0614,37.3127
healthy_ann,107.253,46,1,1,5.1389,56.221
healthy_ann,90.5418,59,2,1,6.12293,34.2959
healthy_bo,88.5934,50,2,1,4.82255,32.7795
healthy_bo,110.68,54,1,1,7.0545,58.8922
healthy_bo,114.356,40,1,1,3.09586,58.751
healthy_bo,106.55,48,1,1,3.10118,54.8506
healthy_cid,81.4223,53,2,1,4.8899,30.434
healthy_cid,107.668,57,1,1,7.43655,57.5774
healthy_cid,92.3062,37,1,1,4.59441,48.4753
healthy_cid,109.449,57,1,1,8.3888,58.9438
